id,name,price,original_price,discount_rate,rating_average,review_count,quantity_sold,brand,category,url_key
963200,Combo 2 Gói Trà Thượng Hạng - Tuyết Shan Cổ Thụ Trà (250g / Gói),1050000,1050000,0,5.0,5,47,Tuyết Shan Cổ Thụ Trà,Bách Hóa Online,combo-2-goi-tra-thuong-hang-tuyet-shan-co-thu-tra-250g-goi-p963200
32818414,Sách Thăm Dò Tiềm Thức ( Tái Bản ),67300,75000,10,4.8,10,91,No Brand,Sách tiếng Việt,sach-tham-do-tiem-thuc-tai-ban-p32818414
278023649,ÁO THUN BA LỖ DỄ THƯƠNG CHO THÚ CƯNG CHÓ MÈO,60000,60000,0,0.0,0,0,OEM,Bách Hóa Online,ao-thun-ba-lo-de-thuong-cho-thu-cung-cho-meo-p278023649
213714249,Bột hòa tan Bồ Công Anh - Thương Hiệu Hùng Phát,180000,180000,0,4.8,5,28,HUNGPHAT,Bách Hóa Online,bot-hoa-tan-bo-cong-anh-p213714249
17513210,Bao da 360 độ Dada dành cho iPad Pro 9.7 Inch - Hàng chính hãng,95000,95000,0,4.5,14,62,Dada,Thiết Bị Số - Phụ Kiện Số,bao-da-360-do-dada-danh-cho-ipad-pro-9-7-inch-hang-chinh-hang-p17513210
216217030,Combo 1 hộp (20 gói) Gia Vị Nướng Muối Ớt Barona 80g ướp ngon chuẩn vị không cần nêm nếm,268000,268000,0,5.0,1,3,Barona,Bách Hóa Online,combo-1-hop-20-goi-gia-vi-nuong-muoi-ot-barona-80g-uop-ngon-chuan-vi-khong-can-nem-nem-p216217030
275350344,"Kệ đa năng gấp gọn 3/4 tầng bằng Thép Carbon không gỉ, Kệ lò vi sóng có bánh xe, kệ sách trang trí",450000,450000,0,5.0,9,18,Anh Lam Store,Kệ nhà bếp,ke-da-nang-gap-gon-3-4-tang-bang-thep-carbon-khong-gi-ke-lo-vi-song-co-banh-xe-ke-sach-trang-tri-p275350344
115529840,Cáp âm thanh 1M Màu đen 3.5 sang Xlr Ugreen A182T20763AV - Hàng chính hãng,135000,135000,0,5.0,1,12,UGREEN,Root,ca-p-am-thanh-1m-mau-den-3-5-sang-xlr-ugreen-a182t20763av-hang-chinh-hang-p115529840
73722554,Trà Túi Lọc Atiso Hộp 25 Gói - Thương hiệu Hùng Phát,40000,40000,0,5.0,8,125,Hùng Phát NATURAL HERB TEA,Bách Hóa Online,tra-atiso-thuong-hie-u-hu-ng-pha-t-p73722554
271075628,"Bộ 15 Tấm Xốp Dán Tường 3D PVC Giả Đá 60x30cm Keo Sẵn Dày 2,5mm Cao Cấp Cho Tường Nhà Sang trọng, Đẳng Cấp",180000,180000,0,4.5,11,84,OEM,Nhà Cửa - Đời Sống,bo-15-tam-xop-dan-tuong-3d-pvc-gia-da-60x30cm-keo-san-day-2-5mm-cao-cap-cho-tuong-nha-sang-trong-dang-cap-p271075628
193589416,1GÓI HỦ TIẾU ĐẶC SẢN SA ĐÉC,42800,62100,31,4.0,1,47,VietTin Mart,Bách Hóa Online,1goi-hu-tieu-dac-san-sa-dec-p193589416
274694353,Tã Quần Caryn Loại Mỏng Nhẹ L28,350000,391200,11,4.8,345,5067,Caryn,Đồ Chơi - Mẹ & Bé,ta-quan-caryn-loai-mong-nhe-l28-p274694353
207717768,Rượu Chuối Hột Phú Lễ 29 %vol_650ml,95000,95000,0,5.0,3,60,Rượu Phú Lễ,Root,ruou-chuoi-hot-phu-le-29-vol-500ml-p207717768
196486260,"vime bacilluss ,men phân huỷ, nước ao nuôi tôm cá 1kg/lon",88000,88000,0,5.0,1,1,Vemedim,Root,vime-bacilluss-men-phan-huy-nuoc-ao-nuoi-tom-ca-1kg-lon-p196486260
278682211,Sách Vị Ngây Thơ,99000,165000,40,4.7,11,117,No Brand,Truyện trinh thám,sach-vi-ngay-tho-p278682211
276034357,Combo 2 Hộp Nước Trái Cây Picnic Vị Táo/Nho Maeil Hàn Quốc,30000,30000,0,0.0,0,0,MAEIL,Bách Hóa Online,combo-2-hop-nuoc-trai-cay-picnic-vi-tao-nho-maeil-han-quoc-p276034357
249245099,"Combo 3 lon Sữa Morinaga Số 3 Kodomil 800g (Hương Vani) - cho bé từ 3 tuổi phát triển toàn diện, tăng chiều cao",1623000,1653000,2,0.0,0,17,Morinaga,Root,combo-3-lon-sua-morinaga-so-3-kodomil-850g-huong-vani-cho-be-tu-3-tuoi-phat-trien-toan-dien-tang-chieu-cao-p249245099
132366458,Sách Hướng Dẫn Chẩn Đoán Tâm Lý Tâm Thần Theo DSM-5,201000,240000,16,5.0,35,291,No Brand,Sách tiếng Việt,sach-huong-dan-chan-doan-tam-ly-tam-than-theo-dsm-5-p132366458
278373262,Sách Tiểu Thuyết Thám Tử Lừng Danh Conan: Dư Ảnh Của Độc Nhãn,54000,55000,2,5.0,2,12,No Brand,Root,sach-tieu-thuyet-tham-tu-lung-danh-conan-du-anh-cua-doc-nhan-p278373262
22526342,Nồi chiên không dầu Daewoo DEF-DM550 (2.6L) - Hàng chính hãng,990000,1990000,50,4.5,5,32,Daewoo,Root,noi-chien-khong-dau-daewoo-def-dm550-2-6l-hang-chinh-hang-p22526342
278682949,Máy Xay Sinh Tố Công Nghiệp Saiko BLG-2800 PRO (2600W) Hàng chính hãng,3590000,3590000,0,0.0,0,1,Saiko,Điện Gia Dụng,may-xay-sinh-to-cong-nghiep-saiko-blg-2800-pro-2600w-hang-chinh-hang-p278682949
35521650,Bộ 4 Con quay kỳ diệu Yuga Toys chiến xa + đấu trường - Hàng chính hãng,99000,99000,0,4.8,6,29,Yuga Toys,Đồ Chơi - Mẹ & Bé,bo-4-con-quay-ky-dieu-yuga-toys-chien-xa-dau-truong-hang-chinh-hang-p35521650
202961145,Ốp Lưng dành cho iPhone 14 Pro Max/ 14 Pro Spigen Ultra Hybrid Crystal Clear Case - Hàng Chính Hãng,350000,350000,0,4.5,4,37,Spigen,Thiết Bị Số - Phụ Kiện Số,op-lung-danh-cho-iphone-14-pro-max-14-pro-spigen-ultra-hybrid-crystal-clear-case-hang-chinh-hang-p202961145
153264196,SET 10 MÓC TREO QUẦN ÁO INOX BỌC NHỰA CHỐNG TRƠN TRƯỢT,69000,69000,0,0.0,0,11,OEM,Nhà Cửa - Đời Sống,set-10-moc-treo-quan-ao-inox-boc-nhua-chong-tron-truot-p153264196
